Unnamed: 0,Address,Price,Beds,Area,Full Baths,Half Baths,Lot Size,Latitude,Longitude
0,"0 Gateway Rock Springs, WY 82901 USA","$725,000",,,,,,41.58430014536033,-109.24805291958037
1,"1003 Winchester Blvd. Rock Springs, WY 82901 USA","$452,900",4.0,,4.0,,0.21 Acres,41.59800000000001,-109.2562695
2,"600 Talladega Rock Springs, WY 82901 USA","$396,900",5.0,"3,154",3.0,,,41.59423260421838,-109.2713947578624
3,"3239 Spearhead Way Rock Springs, WY 82901 USA","$389,900",4.0,"3,076",3.0,1.0,"Under 1/2 Acre, ",41.591475,-109.2653955
4,"522 Emerald Street Rock Springs, WY 82901 USA","$254,000",3.0,"1,172",3.0,,"Under 1/2 Acre, ",41.583275223440374,-109.2045770295746
5,"1302 Veteran's Drive Rock Springs, WY 82901 USA","$252,900",4.0,"1,932",2.0,,0.27 Acres,41.598513,-109.212282
6,"1021 Cypress Cir Rock Springs, WY 82901 USA","$210,000",4.0,"1,676",3.0,,"Under 1/2 Acre, ",41.624685,-109.2259215
7,"913 Madison Dr Rock Springs, WY 82901 USA","$209,000",3.0,"1,344",2.0,,"Under 1/2 Acre, ",41.59806915124944,-109.24438882595663
8,"1344 Teton Street Rock Springs, WY 82901 USA","$199,900",3.0,"1,920",2.0,,"Under 1/2 Acre, ",41.57187425728549,-109.21727368722934
9,"4 Minnies Lane Rock Springs, WY 82901 USA","$196,900",3.0,"1,664",2.0,,2.02 Acres,41.00828327589581,-109.42574507389303
10,"9339 Sd 26900 Rocksprings, TX 78880 USA","$1,700,000",,"2,560",,,,30.142285779135037,-99.84342769566031
11,"RR674P13 Hwy 377 Rocksprings, TX 78880 USA","$1,100,000",,"2,000",,,,30.015643961571474,-100.20782478578987
12,"0 Hwy 41 Rocksprings, TX 78880 USA","$1,080,000",,,,,,30.078252647474844,-99.9696127000004
13,"9339 Sd 26900 Rocksprings, TX 78880 USA","$908,350",,"2,560",,,,30.142285779135037,-99.84342769566031
14,"CR450 Hwy 377 Rocksprings, TX 78880 USA","$905,000",,,,,,30.015771950353916,-100.21109833005264
15,"Cr 240 Cr 240 Rocksprings, TX 78880 USA","$695,000",,"1,398",,,,30.081133945044872,-99.92730706946627
16,"RR674 Hwy 377 Rocksprings, TX 78880 USA","$605,000",,"1,738",,,,30.004436813848592,-100.25285146886887
17,"9770a Sd 26900 Rocksprings, TX 78880 USA","$559,805",,"1,080",,,,30.138383234813926,-99.84838743113387
18,"Lot17 CR 2630 Rocksprings, TX 78880 USA","$504,000",,,,,,30.076116759239877,-100.1918799667216
19,"Tr12,16 CR 520 Rocksprings, TX 78880 USA","$410,000",,,,,,29.940846544961126,-100.32239393480909
20,"32575 S Shadow Mountain Road Black Canyon City, AZ 85324 USA","$299,900",3.0,"2,318",2.0,,,34.091453682757276,-112.12045741098775
21,"32750 S Shangrila Drive Black Canyon City, AZ 85324 USA","$167,500",3.0,"2,120",2.0,,,34.08829865306711,-112.1177371596453
22,"0000 Black Canyon Highway Black Canyon City, AZ 85324 USA","$150,000",,,,,5 Acres,34.06592906204416,-112.14996231290152
23,"34775 S CHOLLA Drive Black Canyon City, AZ 85324 USA","$129,500",3.0,"1,220",2.0,,,34.06531431569602,-112.13606529506455
24,"33403 S. HA-WA-SI TERRACE BLACK CANYON CITY, AZ 85324 USA","$129,000",4.0,"2,000",2.0,,,34.07944396230632,-112.12706388979933
25,"34263 S Bertha Street Black Canyon City, AZ 85324 USA","$80,000",5.0,"2,260",2.0,,,34.06732494338964,-112.15450219703976
26,"33160 S Canyon Road Black Canyon City, AZ 85324 USA","$77,900",3.0,"1,248",2.0,,,34.08245044463038,-112.13171121570741
27,"19421 E Todd Evans Road Black Canyon City, AZ 85324 USA","$70,500",3.0,"1,404",2.0,,,34.07032547735031,-112.1442672783773
28,"18688 E AGUA Vista Black Canyon City, AZ 85324 USA","$70,000",,,,,0.7 Acres,34.05555300065402,-112.15796852073333
29,"50600 N Old Black Canyon Road Black Canyon City, AZ 85324 USA","$67,500",,,,,3 Acres,34.06592906204416,-112.14996231290152
30,"20101 E SQUAW VALLEY Road Black Canyon City, AZ 85324 USA","$54,900",,,,,,34.07743182572405,-112.13052132572405
31,"33259 S Canyon Road Black Canyon City, AZ 85324 USA","$45,600",3.0,"1,056",1.0,,,34.08121450288553,-112.13317255689883
32,"34558 S ROADRUNNER RD Black Canyon City, AZ 85324 USA","$40,000",2.0,784,1.0,,Under 1/2 Acre,34.06451282543704,-112.13677989757065
33,"19260 E Scenic Loop Road Black Canyon City, AZ 85324 USA","$30,000",,,,,2.35 Acres,34.077996,-112.14684532093632
34,"19000 E MAREN Avenue Black Canyon City, AZ 85324 USA","$29,000",,,,,2.05 Acres,34.09036515235492,-112.15260690505515
35,"19350 E SAGUARO Drive Black Canyon City, AZ 85324 USA","$28,995",,,,,0.73 Acres,34.07306847157925,-112.14480064071786
36,"20650 E Amethyst Place Black Canyon City, AZ 85324 USA","$15,000",,,,,0.31 Acres,34.07601600000001,-112.1229
